epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
52,545.19,0.03014,0.27707,0.02696,0.63995,0.97246,0.09305,0.39902,0,0.0004951,0.0004951,0.0004951
53,556.195,0.03024,0.28014,0.02692,0.64089,0.97281,0.09111,0.40001,0,0.0004852,0.0004852,0.0004852
54,566.56,0.02796,0.28102,0.02619,0.64089,0.97281,0.09111,0.40001,0,0.0004753,0.0004753,0.0004753
55,578.089,0.02946,0.27564,0.02638,0.63863,0.97345,0.09076,0.40604,0,0.0004654,0.0004654,0.0004654
56,589.133,0.02935,0.29509,0.02601,0.64104,0.97416,0.08846,0.40554,0,0.0004555,0.0004555,0.0004555
57,599.51,0.02936,0.27874,0.0263,0.64104,0.97416,0.08846,0.40554,0,0.0004456,0.0004456,0.0004456
58,610.256,0.03003,0.27394,0.02564,0.64682,0.97499,0.08577,0.39931,0,0.0004357,0.0004357,0.0004357
59,620.432,0.02918,0.28198,0.02542,0.64682,0.97499,0.08577,0.39931,0,0.0004258,0.0004258,0.0004258
60,630.702,0.02843,0.26583,0.02427,0.6512,0.97575,0.08442,0.39497,0,0.0004159,0.0004159,0.0004159
61,641.018,0.029,0.26611,0.02454,0.6512,0.97575,0.08442,0.39497,0,0.000406,0.000406,0.000406
62,651.729,0.02692,0.27856,0.02381,0.65844,0.97628,0.08455,0.39243,0,0.0003961,0.0003961,0.0003961
63,663.815,0.02491,0.26366,0.0224,0.65844,0.97628,0.08455,0.39243,0,0.0003862,0.0003862,0.0003862
64,675.158,0.02438,0.27232,0.02262,0.67184,0.97657,0.08362,0.3702,0,0.0003763,0.0003763,0.0003763
65,685.738,0.02517,0.25783,0.02249,0.68003,0.97709,0.08401,0.35516,0,0.0003664,0.0003664,0.0003664
66,695.917,0.02812,0.26081,0.02364,0.68003,0.97709,0.08401,0.35516,0,0.0003565,0.0003565,0.0003565
67,706.331,0.02632,0.26881,0.02286,0.6801,0.97688,0.08463,0.35321,0,0.0003466,0.0003466,0.0003466
68,716.934,0.0237,0.25788,0.02164,0.6801,0.97688,0.08463,0.35321,0,0.0003367,0.0003367,0.0003367
69,727.252,0.0241,0.24627,0.02182,0.67678,0.97679,0.08159,0.3587,0,0.0003268,0.0003268,0.0003268
70,737.745,0.02649,0.26729,0.02223,0.67678,0.97679,0.08159,0.3587,0,0.0003169,0.0003169,0.0003169
71,748.144,0.02555,0.25839,0.02267,0.67373,0.976,0.08337,0.3576,0,0.000307,0.000307,0.000307
72,758.914,0.02241,0.2737,0.02065,0.67395,0.97566,0.08413,0.35468,0,0.0002971,0.0002971,0.0002971
73,769.446,0.02157,0.24548,0.02047,0.67395,0.97566,0.08413,0.35468,0,0.0002872,0.0002872,0.0002872
74,779.674,0.0246,0.26908,0.02107,0.6748,0.97555,0.0858,0.35453,0,0.0002773,0.0002773,0.0002773
75,790.288,0.02376,0.26855,0.02118,0.6748,0.97555,0.0858,0.35453,0,0.0002674,0.0002674,0.0002674
76,800.551,0.02456,0.23785,0.02125,0.67559,0.97597,0.08517,0.35324,0,0.0002575,0.0002575,0.0002575
77,811.041,0.02548,0.27498,0.02142,0.67559,0.97597,0.08517,0.35324,0,0.0002476,0.0002476,0.0002476
78,821.69,0.02338,0.24768,0.02046,0.67747,0.97626,0.08423,0.35368,0,0.0002377,0.0002377,0.0002377
79,832.234,0.02242,0.254,0.02093,0.67747,0.97626,0.08423,0.35368,0,0.0002278,0.0002278,0.0002278
80,842.54,0.02255,0.24473,0.02,0.67448,0.97576,0.08538,0.35314,0,0.0002179,0.0002179,0.0002179
81,852.729,0.02248,0.25588,0.02047,0.67357,0.97555,0.08707,0.35171,0,0.000208,0.000208,0.000208
82,863.477,0.02188,0.24398,0.01951,0.67357,0.97555,0.08707,0.35171,0,0.0001981,0.0001981,0.0001981
83,873.627,0.02224,0.24879,0.01957,0.67482,0.97535,0.09092,0.34928,0,0.0001882,0.0001882,0.0001882
84,883.578,0.02217,0.2397,0.02052,0.67482,0.97535,0.09092,0.34928,0,0.0001783,0.0001783,0.0001783
85,893.864,0.02087,0.24794,0.01926,0.6719,0.97485,0.09469,0.35342,0,0.0001684,0.0001684,0.0001684
86,904.25,0.02215,0.25062,0.01957,0.6719,0.97485,0.09469,0.35342,0,0.0001585,0.0001585,0.0001585
87,914.799,0.02267,0.24279,0.01995,0.6712,0.97453,0.09551,0.3553,0,0.0001486,0.0001486,0.0001486
88,925.053,0.02127,0.25369,0.01896,0.67312,0.97489,0.09494,0.35383,0,0.0001387,0.0001387,0.0001387
89,935.663,0.02224,0.25025,0.01918,0.67312,0.97489,0.09494,0.35383,0,0.0001288,0.0001288,0.0001288
90,945.818,0.02081,0.23876,0.01908,0.67215,0.97507,0.09296,0.3543,0,0.0001189,0.0001189,0.0001189
91,956.046,0.02035,0.21428,0.01868,0.67215,0.97507,0.09296,0.3543,0,0.000109,0.000109,0.000109
92,966.403,0.02034,0.24116,0.01841,0.67257,0.97486,0.09157,0.35381,0,9.91e-05,9.91e-05,9.91e-05
93,976.911,0.02314,0.27726,0.02062,0.67257,0.97486,0.09157,0.35381,0,8.92e-05,8.92e-05,8.92e-05
94,987.105,0.02104,0.24669,0.0187,0.66729,0.97519,0.09025,0.3607,0,7.93e-05,7.93e-05,7.93e-05
95,997.254,0.02173,0.26084,0.01955,0.66729,0.97519,0.09025,0.3607,0,6.94e-05,6.94e-05,6.94e-05
96,1008.39,0.02024,0.23805,0.01824,0.67047,0.9753,0.09038,0.3567,0,5.95e-05,5.95e-05,5.95e-05
97,1018.92,0.02068,0.25094,0.01887,0.67305,0.97541,0.09125,0.35492,0,4.96e-05,4.96e-05,4.96e-05
