epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
51,895.852,0.01473,0.29264,0.01528,0.76378,0.99178,0.03431,0.34021,0,0.000836027,0.000836027,0.000836027
52,913.141,0.01385,0.29022,0.01403,0.76463,0.99187,0.03503,0.33856,0,0.000830528,0.000830528,0.000830528
53,930.541,0.0129,0.25056,0.01331,0.77321,0.99175,0.03072,0.33095,0,0.000825029,0.000825029,0.000825029
54,949.348,0.01304,0.27717,0.0136,0.77321,0.99175,0.03072,0.33095,0,0.000819529,0.000819529,0.000819529
55,968.004,0.01201,0.25465,0.01261,0.77847,0.99212,0.02911,0.32381,0,0.00081403,0.00081403,0.00081403
56,986.454,0.01517,0.28266,0.013,0.77341,0.99211,0.02969,0.32343,0,0.00080853,0.00080853,0.00080853
57,1004.31,0.01158,0.26604,0.01178,0.79482,0.99291,0.02365,0.31189,0,0.000803031,0.000803031,0.000803031
58,1021.46,0.01235,0.2821,0.01204,0.79532,0.99276,0.02453,0.31137,0,0.000797531,0.000797531,0.000797531
59,1038.25,0.01164,0.26178,0.01156,0.79348,0.9925,0.02503,0.3112,0,0.000792032,0.000792032,0.000792032
60,1055.23,0.01117,0.24002,0.01065,0.79379,0.99258,0.02593,0.31434,0,0.000786532,0.000786532,0.000786532
61,1073.08,0.01088,0.25935,0.01077,0.79203,0.99277,0.02803,0.31728,0,0.000781033,0.000781033,0.000781033
62,1091.57,0.01169,0.26112,0.01154,0.79203,0.99277,0.02803,0.31728,0,0.000775534,0.000775534,0.000775534
63,1110.08,0.01503,0.26307,0.01183,0.77999,0.99198,0.03122,0.32138,0,0.000770034,0.000770034,0.000770034
64,1128.72,0.01215,0.23602,0.01039,0.76651,0.9903,0.03797,0.32276,0,0.000764535,0.000764535,0.000764535
65,1147.37,0.01259,0.21614,0.01082,0.76591,0.98998,0.03962,0.32263,0,0.000759035,0.000759035,0.000759035
66,1165.43,0.01324,0.24973,0.01083,0.77257,0.99092,0.03716,0.31667,0,0.000753536,0.000753536,0.000753536
67,1182.72,0.0143,0.2422,0.01053,0.76984,0.99184,0.03959,0.31508,0,0.000748036,0.000748036,0.000748036
68,1200.19,0.01199,0.26632,0.01022,0.76983,0.99206,0.04262,0.31237,0,0.000742537,0.000742537,0.000742537
69,1218.59,0.01164,0.27502,0.00998,0.76769,0.99182,0.04378,0.31097,0,0.000737037,0.000737037,0.000737037
70,1237.16,0.01112,0.26689,0.00965,0.76769,0.99182,0.04378,0.31097,0,0.000731538,0.000731538,0.000731538
71,1255.65,0.01144,0.21398,0.00941,0.76623,0.99153,0.04288,0.30728,0,0.000726038,0.000726038,0.000726038
72,1273.5,0.01078,0.21606,0.00906,0.76439,0.99142,0.04356,0.3063,0,0.000720539,0.000720539,0.000720539
73,1290.72,0.01024,0.25292,0.00906,0.76381,0.99141,0.03419,0.30725,0,0.00071504,0.00071504,0.00071504
74,1307.75,0.01262,0.23785,0.00937,0.76785,0.99131,0.03037,0.30601,0,0.00070954,0.00070954,0.00070954
75,1325.38,0.01048,0.22533,0.00901,0.78193,0.99145,0.02929,0.29807,0,0.000704041,0.000704041,0.000704041
76,1344.05,0.01078,0.21257,0.00926,0.78479,0.99132,0.02914,0.29479,0,0.000698541,0.000698541,0.000698541
77,1362.61,0.01155,0.2138,0.00914,0.77871,0.99127,0.03075,0.2989,0,0.000693042,0.000693042,0.000693042
78,1380.9,0.00986,0.24359,0.00837,0.77871,0.99127,0.03075,0.2989,0,0.000687542,0.000687542,0.000687542
79,1399.05,0.01118,0.22147,0.00897,0.78074,0.99195,0.03246,0.29463,0,0.000682043,0.000682043,0.000682043
80,1416.67,0.01064,0.24607,0.00912,0.77985,0.99198,0.0374,0.29436,0,0.000676543,0.000676543,0.000676543
81,1434.96,0.01006,0.26304,0.00846,0.77335,0.99158,0.04319,0.29804,0,0.000671044,0.000671044,0.000671044
82,1453.29,0.01246,0.253,0.00866,0.77272,0.99166,0.04648,0.29829,0,0.000665545,0.000665545,0.000665545
83,1471.7,0.00986,0.21103,0.00839,0.77724,0.99204,0.04767,0.29346,0,0.000660045,0.000660045,0.000660045
84,1489.47,0.01014,0.2448,0.00836,0.77459,0.99183,0.0417,0.28945,0,0.000654546,0.000654546,0.000654546
85,1506.69,0.01056,0.21981,0.0084,0.7792,0.99208,0.03789,0.27665,0,0.000649046,0.000649046,0.000649046
86,1524.65,0.00866,0.21526,0.008,0.7792,0.99208,0.03789,0.27665,0,0.000643547,0.000643547,0.000643547
87,1543.3,0.00926,0.21522,0.00817,0.78179,0.99195,0.03377,0.26618,0,0.000638047,0.000638047,0.000638047
88,1561.82,0.00895,0.22784,0.00804,0.78505,0.99209,0.03133,0.25938,0,0.000632548,0.000632548,0.000632548
