epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
51,2505.12,0.02055,0.15329,0.01616,0.76703,0.97706,0.08227,0.22166,0,0.000626832,0.000626832,0.000626832
52,2553.87,0.02251,0.12987,0.0169,0.76322,0.97614,0.08628,0.23084,0,0.000622709,0.000622709,0.000622709
53,2607.94,0.02184,0.12255,0.01664,0.75725,0.97587,0.08908,0.23782,0,0.000618586,0.000618586,0.000618586
54,2662.54,0.02207,0.12868,0.01701,0.75814,0.97689,0.08844,0.23925,0,0.000614462,0.000614462,0.000614462
55,2722.68,0.02173,0.09944,0.01637,0.76263,0.97751,0.08483,0.23374,0,0.000610339,0.000610339,0.000610339
56,2784.98,0.02275,0.1211,0.0162,0.77682,0.97943,0.07628,0.22508,0,0.000606216,0.000606216,0.000606216
57,2837.37,0.0212,0.10714,0.01562,0.77734,0.98004,0.0733,0.2271,0,0.000602092,0.000602092,0.000602092
58,2892.5,0.02055,0.09506,0.01515,0.75889,0.97954,0.07779,0.24368,0,0.000597969,0.000597969,0.000597969
59,2947.82,0.01869,0.10694,0.0145,0.75996,0.97944,0.0778,0.24086,0,0.000593846,0.000593846,0.000593846
60,2999.85,0.01893,0.11191,0.01456,0.75569,0.97918,0.07726,0.23705,0,0.000589722,0.000589722,0.000589722
61,3051.82,0.0197,0.1394,0.01497,0.74973,0.9784,0.07864,0.23255,0,0.000585599,0.000585599,0.000585599
62,3104.15,0.02063,0.10987,0.01526,0.77183,0.97879,0.07413,0.20967,0,0.000581476,0.000581476,0.000581476
63,3151.24,0.01854,0.12899,0.01431,0.7893,0.98065,0.06788,0.19804,0,0.000577352,0.000577352,0.000577352
64,3206.25,0.01906,0.11987,0.01433,0.79669,0.98193,0.06396,0.1903,0,0.000573229,0.000573229,0.000573229
65,3264.84,0.01803,0.10444,0.01381,0.78186,0.98178,0.06604,0.19527,0,0.000569106,0.000569106,0.000569106
66,3318.71,0.01937,0.09251,0.01442,0.79587,0.98157,0.0638,0.18899,0,0.000564982,0.000564982,0.000564982
67,3370.23,0.01902,0.09383,0.01474,0.80459,0.9812,0.06387,0.18434,0,0.000560859,0.000560859,0.000560859
68,3416.58,0.0185,0.07233,0.01369,0.80028,0.97986,0.06975,0.19046,0,0.000556736,0.000556736,0.000556736
69,3465.49,0.01755,0.09429,0.01346,0.78571,0.97962,0.06916,0.2064,0,0.000552612,0.000552612,0.000552612
70,3522.13,0.01787,0.12043,0.01345,0.77773,0.98004,0.07294,0.22264,0,0.000548489,0.000548489,0.000548489
71,3574.38,0.01761,0.07902,0.01324,0.7888,0.97992,0.07462,0.22063,0,0.000544365,0.000544365,0.000544365
72,3627.07,0.01782,0.12051,0.01324,0.79291,0.97998,0.07433,0.21877,0,0.000540242,0.000540242,0.000540242
73,3679.59,0.01791,0.11539,0.0131,0.79269,0.98072,0.07379,0.22025,0,0.000536119,0.000536119,0.000536119
74,3734.12,0.01745,0.11929,0.01292,0.78788,0.98216,0.07371,0.22461,0,0.000531995,0.000531995,0.000531995
